,Tag,Total_views,Videos,Avg_Views/Video
0,サッカ,14.7M,291,50.5K
1,ボクシング,1.7B,73.8K,23.3K
2,剣道,559.3M,13.0K,43.2K
3,ラグビ空手,            ,            ,            
