,title,start_date_time,total_viewers,plus_followers,reward,time
58,熱血専門生とマッチョ大学生の激アツLIVE🔥❗️,"Nov 23, 2023 3:30 PM","1,780",30,29,1h15m
59,大学二年神道系のゆるっと配信！寝るまで！,"Nov 23, 2023 12:22 AM",300,0,3,38m20s
60,専門学校2年生のゆるっと配信！風邪で声掠れてるのでご了承ください,"Nov 19, 2023 10:00 PM",263,0,0,36m37s
61,アツアツ専門生とエンジニア大学生のあつもりトークLIVE❗️🔥,"Nov 19, 2023 5:03 PM",356,5,655,57m17s
62,専門二年と神道系大学生！ゆったり配信〜,"Nov 19, 2023 1:57 PM",577,9,881,1h2m
63,早く着いたので、屋上でご飯！,"Nov 19, 2023 11:54 AM",874,18,47,49m21s
64,情熱専門生と神主系大学生のアツアツLIVE🔥❗️,"Nov 18, 2023 6:26 PM","1,103",26,219,1h40m
65,神道系大学生とマッチョ大学生のアゲアゲトークLIVE🔥,"Nov 18, 2023 5:03 PM",291,2,31,56m50s
66,神道系大学生とマッチョ大学生のアゲアゲトークLIVE🔥,"Nov 18, 2023 5:01 PM",0,0,0,0m
67,情熱専門生と筋肉大学生の雑談LIVE❗️,"Nov 16, 2023 4:03 PM","1,453",19,229,59m19s
68,マッチョ大学生と理系大学生の雑談LIVE❗️,"Nov 12, 2023 6:06 PM",576,10,22,1h5m
69,マッチョ大学生と理系大学生の雑談LIVE❗️,"Nov 11, 2023 5:02 PM",299,1,724,57m53s
70,神社系大学生と専門生の雑談LIVE❗️,"Nov 10, 2023 7:34 PM",237,2,6,20m30s
71,神社系大学生と専門生の雑談LIVE❗️,"Nov 10, 2023 7:32 PM",32,0,0,2m8s
72,神社系大学生と専門生の雑談LIVE❗️,"Nov 10, 2023 6:30 PM",503,7,16,1h1m
73,専門生と理系大学生の雑談LIVE❗️,"Nov 9, 2023 4:52 PM",120,0,102,7m32s
74,専門生と理系大学生の雑談LIVE❗️,"Nov 9, 2023 4:02 PM",834,15,500,49m41s
75,マッチョ大学生と神社系大学生の雑談LIVE❗️,"Nov 8, 2023 11:54 AM",346,7,35,1h6m
76,神社系大学生と専門生の雑談LIVE❗️,"Nov 6, 2023 7:03 PM",482,10,111,56m11s
77,神社系大学生と専門生の雑談LIVE❗️,"Nov 6, 2023 7:01 PM",8,0,0,0m
78,神社系大学生と理系大学生の雑談LIVE❗️,"Nov 4, 2023 6:01 PM",402,8,71,56m23s
79,専門2年と理系大学4年の雑談ライブ❗️,"Oct 28, 2023 7:09 PM","1,286",37,11,1h5m
80,マッチョ大学生と神社系大学生の雑談LIVE❗️,"Oct 27, 2023 6:42 PM",895,30,10,1h31m
81,マッチョ大学生と神社系大学生の雑談LIVE❗️,"Oct 26, 2023 11:59 AM",275,6,12,1h56s
82,専門2年と理系大学4年の雑談LIVE❗️,"Oct 25, 2023 6:01 PM",346,6,246,59m34s
83,専門生と神道系大学生の雑談LIVE❗️,"Oct 22, 2023 1:59 PM",420,9,176,59m2s
84,理系大学生と神道系大学生の雑談LIVE❗️,"Oct 20, 2023 8:00 PM",250,2,33,1h15s
85,専門生と大学生の雑談LIVE❗️,"Oct 18, 2023 10:04 AM",293,3,1,46m53s
86,大学生2人の雑談 LIVE❗️,"Oct 17, 2023 7:08 PM",544,15,10,1h48m
87,大学生2人の雑談 LIVE❗️,"Oct 17, 2023 6:59 PM",115,3,1,8m29s
88,大学生と専門生3人の雑談 Live！,"Oct 14, 2023 2:57 PM",450,7,9,1h27s
89,専門2年年生と大学2年生の雑談　なんでも聞いてください！,"Oct 12, 2023 2:59 PM",401,7,103,55m57s
